,Filename,Number,Output,Formula,# variables,v1_name,v1_low,v1_high,v2_name,v2_low,v2_high,v3_name,v3_low,v3_high,v4_name,v4_low,v4_high,v5_name,v5_low,v5_high,v6_name,v6_low,v6_high,v7_name,v7_low,v7_high,v8_name,v8_low,v8_high,v9_name,v9_low,v9_high,v10_name,v10_low,v10_high,Name,Eqn. No.
0,I.6.2a,1,f,exp(~(theta**2/2))/sqrt(2*pi),1,theta,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,I.6.2,2,f,exp(~(theta/sigma)**2/2)/(sqrt(2*pi)*sigma),2,sigma,1,3,theta,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,I.6.2b,3,f,exp(~(((theta-theta1)/sigma)**2/2))/(sqrt(2*pi)*sigma),3,sigma,1,3,theta,1.0,3.0,theta1,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
3,I.8.14,4,d,sqrt((x2-x1)**2+(y2-y1)**2),4,x1,1,5,x2,1.0,5.0,y1,1.0,5.0,y2,1.0,5.0,,,,,,,,,,,,,,,,,,,,
4,I.9.18,5,F,G*m1*m2/((x2-x1)**2+(y2-y1)**2+(z2-z1)**2),9,m1,1,2,m2,1.0,2.0,G,1.0,2.0,x1,3.0,4.0,x2,1.0,2.0,y1,3.0,4.0,y2,1.0,2.0,z1,3.0,4.0,z2,1.0,2.0,,,,,
5,I.10.7,6,m,m_0/sqrt(1-v**2/c**2),3,m_0,1,5,v,1.0,2.0,c,3.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
6,I.11.19,7,A,x1*y1+x2*y2+x3*y3,6,x1,1,5,x2,1.0,5.0,x3,1.0,5.0,y1,1.0,5.0,y2,1.0,5.0,y3,1.0,5.0,,,,,,,,,,,,,,
7,I.12.1,8,F,mu*Nn,2,mu,1,5,Nn,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,I.12.2,10,F,q1*q2*r/(4*pi*epsilon*r**3),4,q1,1,5,q2,1.0,5.0,epsilon,1.0,5.0,r,1.0,5.0,,,,,,,,,,,,,,,,,,,,
9,I.12.4,11,Ef,q1*r/(4*pi*epsilon*r**3),3,q1,1,5,epsilon,1.0,5.0,r,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,
