nontrivialityPrefactor,constTolFactor,score_before,score_after,variation,median_var,max_iters,status
20,1,644586,378703,2.57342,0.684915,10000000,too-trivial
30,1,644586,745387,NA,NA,10000000,too-bad
25,1,644586,570433,2.93371,0.75685,10000000,too-trivial
26,1,644586,602918,0.762042,10000000,too-trivial
27,1,644586,674240,NA,NA,10000000,too-bad
26.5,1,644586,631232,0.774948,10000000,too-trivial
26.5,1.3,644586,1.05968e+06,NA,NA,10000000,too-bad
26.5,1.1,644586,750422,NA,NA,10000000,too-bad
1.1,1,644586,4015.84,0.641688,0.106525,10000000,too-trivial
10,1.1,644586,154851,2.23587,0.558199,10000000,too-trivial
15,1.1,644586,290534,2.40995,0.641865,10000000,too-trivial
15,1.2,644586,345973,2.61191,0.679954,10000000,too-trivial
20,1.2,644586,589994,3.04947,0.778361,10000000,too-trivial
2,10,644586,363456,3.27413,0.749902,9,too-trivial
2.5,10,644586,515845,3.80832,0.83206,10000000,too-trivial
2.6,10,644586,673639,NA,NA,10000000,too-bad
2.6,10,644586,888803,NA,NA,10,too-bad
2.6,10,644586,644586,NA,NA,5,too-bad
2.6,10,644586,644586,NA,NA,6,too-bad
2.6,10,644586,644586,NA,NA,4,too-bad
2.6,10,644586,539068,3.51101,0.804741,9,too-trivial
2.6,10,644586,517706,3.22304,0.85236,8,too-trivial
2.6,10,644586,584808,3.15748,0.943429,7,too-trivial
2.6,10,644586,576558,3.86209,0.867651,11,too-trivial
3,10,644586,769958,NA,NA,11,too-bad
2.5,20,644586,1.92516e+06,NA,NA,10000000,too-bad
2.5,15,644586,1.17975e+06,NA,NA,10000000,too-bad
2.55,10,644586,643297,3.86851,0.861069,100,too-trivial
2.55,10,644586,515634,3.48631,0.795855,10,too-trivial
2.55,10,644586,644586,NA,NA,5,too-bad
2.55,10,644586,575584,3.14995,0.937719,7,too-trivial
2.65,10,644586,594224,3.16507,0.948767,7,too-trivial
2.75,10,644586,613897,3.16507,0.955793,7,too-trivial
2.85,10,644586,634082,3.1954,0.964421,7,too-trivial
2.65,11,644586,638506,3.19312,0.966926,7,too-trivial
2.45,13,644586,666348,NA,NA,7,too-bad
2.55,11,644586,619078,3.17874,0.957119,7,too-trivial
2.55,12,644586,655278,NA,NA,7,too-bad
1,1,644586,27352.4,1.74544,0.288404,7,too-trivial
0.1,20,644586,28924.4,1.69674,0.299391,7,too-trivial
0.1,20,644586,20007.5,1.03894,0.240119,17,too-trivial
1,20,644586,435415,3.36594,0.776359,17,too-trivial
1,2.1,644586,31043.9,1.56485,0.283577,10,too-trivial
1,5.1,644586,72366.7,2.29828,0.465266,10,too-trivial
1,10.1,644586,119441,2.57236,0.543877,10,too-trivial
3,3,644586,644586,NA,NA,10,too-bad
2,2,644586,59163.8,1.82793,0.401247,10,too-trivial
2,2,644586,59163.8,1.82793,0.401247,9,too-trivial
