r,theta,mu,nu
1.530000000000000027e+00,5.648583591154448413e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.540000000000000036e+00,5.654866776461627609e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.540000000000000036e+00,5.648583591154448413e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.530000000000000027e+00,5.654866776461627609e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.520000000000000018e+00,5.648583591154448413e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.530000000000000027e+00,5.642300405847269218e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.520000000000000018e+00,5.642300405847269218e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.550000000000000044e+00,5.654866776461627609e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.540000000000000036e+00,5.661149961768807692e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.540000000000000036e+00,5.642300405847269218e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.520000000000000018e+00,5.654866776461627609e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.510000000000000009e+00,5.642300405847269218e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.520000000000000018e+00,5.636017220540089134e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.550000000000000044e+00,5.648583591154448413e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.550000000000000044e+00,5.661149961768807692e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.530000000000000027e+00,5.661149961768807692e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.510000000000000009e+00,5.648583591154448413e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.530000000000000027e+00,5.636017220540089134e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.510000000000000009e+00,5.636017220540089134e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.560000000000000053e+00,5.654866776461627609e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.560000000000000053e+00,5.661149961768807692e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.550000000000000044e+00,5.642300405847269218e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.550000000000000044e+00,5.667433147075986888e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.520000000000000018e+00,5.661149961768807692e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.540000000000000036e+00,5.667433147075986888e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.510000000000000009e+00,5.654866776461627609e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.540000000000000036e+00,5.636017220540089134e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.500000000000000000e+00,5.642300405847269218e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.520000000000000018e+00,5.629734035232909939e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.500000000000000000e+00,5.636017220540089134e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.510000000000000009e+00,5.629734035232909939e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.560000000000000053e+00,5.648583591154448413e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.560000000000000053e+00,5.667433147075986888e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.530000000000000027e+00,5.667433147075986888e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.500000000000000000e+00,5.648583591154448413e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.530000000000000027e+00,5.629734035232909939e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.500000000000000000e+00,5.629734035232909939e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.570000000000000062e+00,5.661149961768807692e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.510000000000000009e+00,5.661149961768807692e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.550000000000000044e+00,5.636017220540089134e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.570000000000000062e+00,5.654866776461627609e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.550000000000000044e+00,5.673716332383166971e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.560000000000000053e+00,5.642300405847269218e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.570000000000000062e+00,5.667433147075986888e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.520000000000000018e+00,5.667433147075986888e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.500000000000000000e+00,5.654866776461627609e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.560000000000000053e+00,5.673716332383166971e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.540000000000000036e+00,5.673716332383166971e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.489999999999999991e+00,5.636017220540089134e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.510000000000000009e+00,5.623450849925729855e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.540000000000000036e+00,5.629734035232909939e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.489999999999999991e+00,5.642300405847269218e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.520000000000000018e+00,5.623450849925729855e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.489999999999999991e+00,5.629734035232909939e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.500000000000000000e+00,5.623450849925729855e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.570000000000000062e+00,5.648583591154448413e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.570000000000000062e+00,5.673716332383166971e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.530000000000000027e+00,5.673716332383166971e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.489999999999999991e+00,5.648583591154448413e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.530000000000000027e+00,5.623450849925729855e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.489999999999999991e+00,5.623450849925729855e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.580000000000000071e+00,5.661149961768807692e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.580000000000000071e+00,5.667433147075986888e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.560000000000000053e+00,5.636017220540089134e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.510000000000000009e+00,5.667433147075986888e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.500000000000000000e+00,5.661149961768807692e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.550000000000000044e+00,5.629734035232909939e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.550000000000000044e+00,5.679999517690346167e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.560000000000000053e+00,5.679999517690346167e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.580000000000000071e+00,5.654866776461627609e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.570000000000000062e+00,5.642300405847269218e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.479999999999999982e+00,5.636017220540089134e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.510000000000000009e+00,5.617167664618550660e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.479999999999999982e+00,5.629734035232909939e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.500000000000000000e+00,5.617167664618550660e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.580000000000000071e+00,5.673716332383166971e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.520000000000000018e+00,5.673716332383166971e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.489999999999999991e+00,5.654866776461627609e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.540000000000000036e+00,5.679999517690346167e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.570000000000000062e+00,5.679999517690346167e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.540000000000000036e+00,5.623450849925729855e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.479999999999999982e+00,5.642300405847269218e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.520000000000000018e+00,5.617167664618550660e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.489999999999999991e+00,5.617167664618550660e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.479999999999999982e+00,5.623450849925729855e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.580000000000000071e+00,5.648583591154448413e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.530000000000000027e+00,5.679999517690346167e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.580000000000000071e+00,5.679999517690346167e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.479999999999999982e+00,5.648583591154448413e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.590000000000000080e+00,5.667433147075986888e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.530000000000000027e+00,5.617167664618550660e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.590000000000000080e+00,5.661149961768807692e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.500000000000000000e+00,5.667433147075986888e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.560000000000000053e+00,5.629734035232909939e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.479999999999999982e+00,5.617167664618550660e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.570000000000000062e+00,5.636017220540089134e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.590000000000000080e+00,5.673716332383166971e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.510000000000000009e+00,5.673716332383166971e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.489999999999999991e+00,5.661149961768807692e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.560000000000000053e+00,5.686282702997526250e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.550000000000000044e+00,5.623450849925729855e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.500000000000000000e+00,5.610884479311370576e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.469999999999999973e+00,5.629734035232909939e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.550000000000000044e+00,5.686282702997526250e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.590000000000000080e+00,5.654866776461627609e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.570000000000000062e+00,5.686282702997526250e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.469999999999999973e+00,5.636017220540089134e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.510000000000000009e+00,5.610884479311370576e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.580000000000000071e+00,5.642300405847269218e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.489999999999999991e+00,5.610884479311370576e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.469999999999999973e+00,5.623450849925729855e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.479999999999999982e+00,5.654866776461627609e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.520000000000000018e+00,5.679999517690346167e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.590000000000000080e+00,5.679999517690346167e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.540000000000000036e+00,5.617167664618550660e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.540000000000000036e+00,5.686282702997526250e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.469999999999999973e+00,5.642300405847269218e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.580000000000000071e+00,5.686282702997526250e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.520000000000000018e+00,5.610884479311370576e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.479999999999999982e+00,5.610884479311370576e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.469999999999999973e+00,5.617167664618550660e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.590000000000000080e+00,5.648583591154448413e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.600000000000000089e+00,5.667433147075986888e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.600000000000000089e+00,5.673716332383166971e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.489999999999999991e+00,5.667433147075986888e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.500000000000000000e+00,5.673716332383166971e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.469999999999999973e+00,5.648583591154448413e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.570000000000000062e+00,5.629734035232909939e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.530000000000000027e+00,5.686282702997526250e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.600000000000000089e+00,5.661149961768807692e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.560000000000000053e+00,5.623450849925729855e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.590000000000000080e+00,5.686282702997526250e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.530000000000000027e+00,5.610884479311370576e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.580000000000000071e+00,5.636017220540089134e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.479999999999999982e+00,5.661149961768807692e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.510000000000000009e+00,5.679999517690346167e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.469999999999999973e+00,5.610884479311370576e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.600000000000000089e+00,5.679999517690346167e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.500000000000000000e+00,5.604601294004191381e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.489999999999999991e+00,5.604601294004191381e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.459999999999999964e+00,5.629734035232909939e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.560000000000000053e+00,5.692565888304705446e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.570000000000000062e+00,5.692565888304705446e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.459999999999999964e+00,5.623450849925729855e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.550000000000000044e+00,5.617167664618550660e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.459999999999999964e+00,5.636017220540089134e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.510000000000000009e+00,5.604601294004191381e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.600000000000000089e+00,5.654866776461627609e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.550000000000000044e+00,5.692565888304705446e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.590000000000000080e+00,5.642300405847269218e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.580000000000000071e+00,5.692565888304705446e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.479999999999999982e+00,5.604601294004191381e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.459999999999999964e+00,5.617167664618550660e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.469999999999999973e+00,5.654866776461627609e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.520000000000000018e+00,5.686282702997526250e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.600000000000000089e+00,5.686282702997526250e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.540000000000000036e+00,5.610884479311370576e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.459999999999999964e+00,5.642300405847269218e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.520000000000000018e+00,5.604601294004191381e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.540000000000000036e+00,5.692565888304705446e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.590000000000000080e+00,5.692565888304705446e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.469999999999999973e+00,5.604601294004191381e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.459999999999999964e+00,5.610884479311370576e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.610000000000000098e+00,5.673716332383166971e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.600000000000000089e+00,5.648583591154448413e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.610000000000000098e+00,5.667433147075986888e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.489999999999999991e+00,5.673716332383166971e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.570000000000000062e+00,5.623450849925729855e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.479999999999999982e+00,5.667433147075986888e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.580000000000000071e+00,5.629734035232909939e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.500000000000000000e+00,5.679999517690346167e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.610000000000000098e+00,5.679999517690346167e+00,1.000000000000000021e-02,1.000000000000000021e-02
1.560000000000000053e+00,5.617167664618550660e+00,1.000000000000000021e-02,1.000000000000000021e-02
