r,theta,mu,nu
4.799999999999999822e+00,1.225221134900019493e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.790000000000000036e+00,1.231504320207198910e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.809999999999999609e+00,1.225221134900019493e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.799999999999999822e+00,1.231504320207198910e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.809999999999999609e+00,1.218937949592839853e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.790000000000000036e+00,1.225221134900019493e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.799999999999999822e+00,1.218937949592839853e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.780000000000000249e+00,1.231504320207198910e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.820000000000000284e+00,1.218937949592839853e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.780000000000000249e+00,1.237787505514378550e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.790000000000000036e+00,1.237787505514378550e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.809999999999999609e+00,1.231504320207198910e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.820000000000000284e+00,1.212654764285660214e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.820000000000000284e+00,1.225221134900019493e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.809999999999999609e+00,1.212654764285660214e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.769999999999999574e+00,1.237787505514378550e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.780000000000000249e+00,1.225221134900019493e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.799999999999999822e+00,1.237787505514378550e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.790000000000000036e+00,1.218937949592839853e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.830000000000000071e+00,1.212654764285660214e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.830000000000000071e+00,1.218937949592839853e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.780000000000000249e+00,1.244070690821558189e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.769999999999999574e+00,1.231504320207198910e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.769999999999999574e+00,1.244070690821558189e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.799999999999999822e+00,1.212654764285660214e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.790000000000000036e+00,1.244070690821558189e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.830000000000000071e+00,1.206371578978480574e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.820000000000000284e+00,1.206371578978480574e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.820000000000000284e+00,1.231504320207198910e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.759999999999999787e+00,1.244070690821558189e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.759999999999999787e+00,1.237787505514378550e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.839999999999999858e+00,1.212654764285660214e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.830000000000000071e+00,1.225221134900019493e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.809999999999999609e+00,1.237787505514378550e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.839999999999999858e+00,1.206371578978480574e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.780000000000000249e+00,1.218937949592839853e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.769999999999999574e+00,1.225221134900019493e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.769999999999999574e+00,1.250353876128737829e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.809999999999999609e+00,1.206371578978480574e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.839999999999999858e+00,1.218937949592839853e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.759999999999999787e+00,1.250353876128737829e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.799999999999999822e+00,1.244070690821558189e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.790000000000000036e+00,1.212654764285660214e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.780000000000000249e+00,1.250353876128737829e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.759999999999999787e+00,1.231504320207198910e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.750000000000000000e+00,1.244070690821558189e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.849999999999999645e+00,1.206371578978480574e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.830000000000000071e+00,1.200088393671300935e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.839999999999999858e+00,1.200088393671300935e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.750000000000000000e+00,1.250353876128737829e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.849999999999999645e+00,1.212654764285660214e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.799999999999999822e+00,1.206371578978480574e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.830000000000000071e+00,1.231504320207198910e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.750000000000000000e+00,1.237787505514378550e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.790000000000000036e+00,1.250353876128737829e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.820000000000000284e+00,1.237787505514378550e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.820000000000000284e+00,1.200088393671300935e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.839999999999999858e+00,1.225221134900019493e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.849999999999999645e+00,1.200088393671300935e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.759999999999999787e+00,1.256637061435917246e+00,1.000000000000000021e-02,1.000000000000000021e-02
4.769999999999999574e+00,1.256637061435917246e+00,1.000000000000000021e-02,1.000000000000000021e-02
