r,theta,mu,nu,residual
4.799999999999999822e+00,1.225221134900019493e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.174103216967981567e+01
4.790000000000000036e+00,1.231504320207198910e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.173808116454381079e+01
4.809999999999999609e+00,1.225221134900019493e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.173645661422603936e+01
4.799999999999999822e+00,1.231504320207198910e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.173554336550761690e+01
4.809999999999999609e+00,1.218937949592839853e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.173551484060176620e+01
4.790000000000000036e+00,1.225221134900019493e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.173415493980177260e+01
4.799999999999999822e+00,1.218937949592839853e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.173059634198864387e+01
4.780000000000000249e+00,1.231504320207198910e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.172915785557500001e+01
4.820000000000000284e+00,1.218937949592839853e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.172899105360092165e+01
4.780000000000000249e+00,1.237787505514378550e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.172690355212452928e+01
4.790000000000000036e+00,1.237787505514378550e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.172649254336204194e+01
4.809999999999999609e+00,1.231504320207198910e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.172155737381910967e+01
4.820000000000000284e+00,1.212654764285660214e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.172128729138488623e+01
4.820000000000000284e+00,1.225221134900019493e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.172044280344642431e+01
4.809999999999999609e+00,1.212654764285660214e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.171823973880903935e+01
4.769999999999999574e+00,1.237787505514378550e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.171584728409178666e+01
4.780000000000000249e+00,1.225221134900019493e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.171582108489925744e+01
4.799999999999999822e+00,1.237787505514378550e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.171462546530611348e+01
4.790000000000000036e+00,1.218937949592839853e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.171423017632806918e+01
4.830000000000000071e+00,1.212654764285660214e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.171290526161777379e+01
4.830000000000000071e+00,1.218937949592839853e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.171104103303081700e+01
4.780000000000000249e+00,1.244070690821558189e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.170954439524522783e+01
4.769999999999999574e+00,1.231504320207198910e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.170877123203274905e+01
4.769999999999999574e+00,1.244070690821558189e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.170774009969012042e+01
4.799999999999999822e+00,1.212654764285660214e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.170375577148064394e+01
4.790000000000000036e+00,1.244070690821558189e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.169988678531036186e+01
4.830000000000000071e+00,1.206371578978480574e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.169810832689375957e+01
4.820000000000000284e+00,1.206371578978480574e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.169684352652978632e+01
4.820000000000000284e+00,1.231504320207198910e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.169614679082614828e+01
4.759999999999999787e+00,1.244070690821558189e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.169446449270796151e+01
4.759999999999999787e+00,1.237787505514378550e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.169332325775235759e+01
4.839999999999999858e+00,1.212654764285660214e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.169311113162139648e+01
4.830000000000000071e+00,1.225221134900019493e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.169301593294552433e+01
4.809999999999999609e+00,1.237787505514378550e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.169132423074993454e+01
4.839999999999999858e+00,1.206371578978480574e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.168795848148741712e+01
4.780000000000000249e+00,1.218937949592839853e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.168642164279170714e+01
4.769999999999999574e+00,1.225221134900019493e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.168603746376754060e+01
4.769999999999999574e+00,1.250353876128737829e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.168493742714148809e+01
4.809999999999999609e+00,1.206371578978480574e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.168415588709109443e+01
4.839999999999999858e+00,1.218937949592839853e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.168169147506766947e+01
4.759999999999999787e+00,1.250353876128737829e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.168082986366684395e+01
4.799999999999999822e+00,1.244070690821558189e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.167878739927279241e+01
4.790000000000000036e+00,1.212654764285660214e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.167783921834906380e+01
4.780000000000000249e+00,1.250353876128737829e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.167757927271740570e+01
4.759999999999999787e+00,1.231504320207198910e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.167692980232644118e+01
4.750000000000000000e+00,1.244070690821558189e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.166971891025490393e+01
4.849999999999999645e+00,1.206371578978480574e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.166641281122906193e+01
4.830000000000000071e+00,1.200088393671300935e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.166616771775397154e+01
4.839999999999999858e+00,1.200088393671300935e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.166573834101949458e+01
4.750000000000000000e+00,1.250353876128737829e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.166524907208175676e+01
4.849999999999999645e+00,1.212654764285660214e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.166193300512938436e+01
4.799999999999999822e+00,1.206371578978480574e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.166004785604554073e+01
4.830000000000000071e+00,1.231504320207198910e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.165934586454054411e+01
4.750000000000000000e+00,1.237787505514378550e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.165934172163500548e+01
4.790000000000000036e+00,1.250353876128737829e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.165877365103484209e+01
4.820000000000000284e+00,1.237787505514378550e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.165662142047994720e+01
4.820000000000000284e+00,1.200088393671300935e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.165519018659659878e+01
4.839999999999999858e+00,1.225221134900019493e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.165421182272587330e+01
4.849999999999999645e+00,1.200088393671300935e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.165391152125728880e+01
4.759999999999999787e+00,1.256637061435917246e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.165290770002779297e+01
4.769999999999999574e+00,1.256637061435917246e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.164793839246753038e+01
