r,theta,mu,nu,residual
1.530000000000000027e+00,5.648583591154448413e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.164132077393662712e+01
1.540000000000000036e+00,5.654866776461627609e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.163751405648249815e+01
1.540000000000000036e+00,5.648583591154448413e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.163718073594474944e+01
1.530000000000000027e+00,5.654866776461627609e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.163685129402789187e+01
1.520000000000000018e+00,5.648583591154448413e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.163556067460300980e+01
1.530000000000000027e+00,5.642300405847269218e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.163544611627659009e+01
1.520000000000000018e+00,5.642300405847269218e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.163451636895892349e+01
1.550000000000000044e+00,5.654866776461627609e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.162833931329277348e+01
1.540000000000000036e+00,5.661149961768807692e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.162735723156382406e+01
1.540000000000000036e+00,5.642300405847269218e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.162643636427644722e+01
1.520000000000000018e+00,5.654866776461627609e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.162633180302239211e+01
1.510000000000000009e+00,5.642300405847269218e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.162362788553484094e+01
1.520000000000000018e+00,5.636017220540089134e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.162327841323211786e+01
1.550000000000000044e+00,5.648583591154448413e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.162316371235913337e+01
1.550000000000000044e+00,5.661149961768807692e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.162295725124987555e+01
1.530000000000000027e+00,5.661149961768807692e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.162196325508012507e+01
1.510000000000000009e+00,5.648583591154448413e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.161988515816088707e+01
